date,cumulative count,new cases
2020-01-22,0,0
2020-01-23,1,1
2020-01-24,3,2
2020-01-25,3,0
2020-01-26,4,1
2020-01-27,5,1
2020-01-28,7,2
2020-01-29,7,0
2020-01-30,10,3
2020-01-31,13,3
2020-02-01,16,3
2020-02-02,18,2
2020-02-03,18,0
2020-02-04,24,6
2020-02-05,28,4
2020-02-06,28,0
2020-02-07,30,2
2020-02-08,33,3
2020-02-09,40,7
2020-02-10,45,5
2020-02-11,47,2
2020-02-12,50,3
2020-02-13,58,8
2020-02-14,67,9
2020-02-15,72,5
2020-02-16,75,3
2020-02-17,77,2
2020-02-18,81,4
2020-02-19,84,3
2020-02-20,84,0
2020-02-21,85,1
2020-02-22,85,0
2020-02-23,89,4
2020-02-24,89,0
2020-02-25,91,2
2020-02-26,93,2
2020-02-27,93,0
2020-02-28,93,0
2020-02-29,102,9
2020-03-01,106,4
2020-03-02,108,2
2020-03-03,110,2
2020-03-04,110,0
2020-03-05,117,7
2020-03-06,130,13
2020-03-07,138,8
2020-03-08,150,12
2020-03-09,150,0
2020-03-10,160,10
2020-03-11,178,18
2020-03-12,178,0
2020-03-13,200,22
2020-03-14,212,12
2020-03-15,226,14
2020-03-16,243,17
2020-03-17,266,23
2020-03-18,313,47
2020-03-19,345,32
2020-03-20,385,40
2020-03-21,432,47
2020-03-22,455,23
2020-03-23,509,54
2020-03-24,558,49
2020-03-25,631,73
2020-03-26,683,52
2020-03-27,732,49
2020-03-28,802,70
2020-03-29,844,42
2020-03-30,879,35
2020-03-31,926,47
2020-04-01,1000,74
2020-04-02,1049,49
2020-04-03,1114,65
2020-04-04,1189,75
2020-04-05,1309,120
2020-04-06,1375,66
2020-04-07,1481,106
2020-04-08,1623,142
2020-04-09,1910,287
2020-04-10,2108,198
2020-04-11,2299,191
2020-04-12,2532,233
2020-04-13,2918,386
2020-04-14,3252,334
2020-04-15,3699,447
2020-04-16,4427,728
2020-04-17,5050,623
2020-04-18,5992,942
2020-04-19,6588,596
2020-04-20,8014,1426
2020-04-21,9125,1111
2020-04-22,10141,1016
2020-04-23,11178,1037
2020-04-24,12075,897
2020-04-25,12693,618
2020-04-26,13624,931
2020-04-27,14423,799
2020-04-28,14951,528
2020-04-29,15641,690
2020-04-30,16169,528
2020-05-01,17101,932
2020-05-02,17548,447
2020-05-03,18205,657
2020-05-04,18778,573
2020-05-05,19410,632
2020-05-06,20198,788
2020-05-07,20939,741
2020-05-08,21707,768
2020-05-09,22460,753
2020-05-10,23336,876
2020-05-11,23822,486
2020-05-12,24671,849
2020-05-13,25346,675
2020-05-14,26098,752
2020-05-15,26891,793
2020-05-16,27356,465
2020-05-17,28038,682
2020-05-18,28343,305
2020-05-19,28794,451
2020-05-20,29364,570
2020-05-21,29812,448
2020-05-22,30426,614
2020-05-23,31068,642
2020-05-24,31616,548
2020-05-25,31960,344
2020-05-26,32343,383
2020-05-27,32876,533
2020-05-28,33249,373
2020-05-29,33860,611
2020-05-30,34366,506
2020-05-31,34884,518
2020-06-01,35292,408
2020-06-02,35836,544
2020-06-03,36405,569
2020-06-04,36922,517
2020-06-05,37183,261
2020-06-06,37527,344
2020-06-07,37910,383
2020-06-08,38296,386
2020-06-09,38514,218
2020-06-10,38965,451
2020-06-11,39387,422
2020-06-12,39850,463
2020-06-13,40197,347
2020-06-14,40604,407
2020-06-15,40818,214
2020-06-16,40969,151
2020-06-17,41216,247
2020-06-18,41473,257
2020-06-19,41615,142
2020-06-20,41833,218
2020-06-21,42095,262
2020-06-22,42313,218
2020-06-23,42432,119
2020-06-24,42623,191
2020-06-25,42736,113
2020-06-26,42955,219
2020-06-27,43246,291
2020-06-28,43459,213
2020-06-29,43661,202
2020-06-30,43907,246
2020-07-01,44122,215
2020-07-02,44310,188
2020-07-03,44479,169
2020-07-04,44664,185
2020-07-05,44800,136
2020-07-06,44983,183
2020-07-07,45140,157
2020-07-08,45298,158
2020-07-09,45423,125
2020-07-10,45614,191
2020-07-11,45783,169
2020-07-12,45961,178
2020-07-13,46283,322
2020-07-14,46630,347
2020-07-15,46878,248
2020-07-16,47126,248
2020-07-17,47453,327
2020-07-18,47655,202
2020-07-19,47912,257
2020-07-20,48035,123
2020-07-21,48434,399
2020-07-22,48744,310
2020-07-23,49098,354
2020-07-24,49375,277
2020-07-25,49888,513
2020-07-26,50369,481
2020-07-27,50838,469
2020-07-28,51197,359
2020-07-29,51531,334
2020-07-30,51809,278
2020-07-31,52205,396
2020-08-01,52512,307
2020-08-02,52825,313
2020-08-03,53051,226
2020-08-04,53346,295
2020-08-05,54254,908
2020-08-06,54555,301
2020-08-07,54797,242
2020-08-08,54929,132
2020-08-09,55104,175
2020-08-10,55292,188
2020-08-11,55353,61
2020-08-12,55395,42
2020-08-13,55497,102
2020-08-14,55580,83
2020-08-15,55661,81
2020-08-16,55747,86
2020-08-17,55838,91
2020-08-18,55938,100
