date,cumulative count,new cases
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,2,2
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,3,1
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,4,1
2020-04-03,5,1
2020-04-04,6,1
2020-04-05,6,0
2020-04-06,6,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,7,1
2020-04-11,8,1
2020-04-12,8,0
2020-04-13,9,1
2020-04-14,10,1
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,11,1
2020-04-18,11,0
2020-04-19,11,0
2020-04-20,11,0
2020-04-21,11,0
2020-04-22,12,1
2020-04-23,12,0
2020-04-24,12,0
2020-04-25,12,0
2020-04-26,12,0
2020-04-27,14,2
2020-04-28,14,0
2020-04-29,14,0
2020-04-30,15,1
2020-05-01,16,1
2020-05-02,17,1
2020-05-03,18,1
2020-05-04,18,0
2020-05-05,18,0
2020-05-06,20,2
2020-05-07,20,0
2020-05-08,20,0
2020-05-09,20,0
2020-05-10,20,0
2020-05-11,21,1
2020-05-12,21,0
2020-05-13,21,0
2020-05-14,21,0
2020-05-15,21,0
2020-05-16,22,1
2020-05-17,22,0
2020-05-18,22,0
2020-05-19,22,0
2020-05-20,22,0
2020-05-21,23,1
2020-05-22,23,0
2020-05-23,23,0
2020-05-24,23,0
2020-05-25,23,0
2020-05-26,23,0
2020-05-27,23,0
2020-05-28,23,0
2020-05-29,23,0
